threshold,cost,precision,recall,f1,fp,fn
0.1,1398,0.7224634820371102,0.9294057897409853,0.812972012438916,703,139
0.11,1403,0.7290167865707434,0.9263585576434739,0.8159248490270632,678,145
0.12,1408,0.734356075898264,0.9238191975622143,0.818263607737292,658,150
0.13,1433,0.7379788101059495,0.919756221432199,0.8189011982817092,643,158
0.13999999999999999,1465,0.740953947368421,0.915185373285932,0.8189047943649171,630,167
0.14999999999999997,1481,0.7446102819237148,0.9121381411884205,0.8199041314768318,616,173
0.15999999999999998,1504,0.7461442267611504,0.9090909090909091,0.8195970695970695,609,179
0.16999999999999998,1499,0.7506297229219143,0.9080751650584052,0.8218800275798666,594,181
0.17999999999999997,1507,0.7540152155536771,0.9060436769933977,0.8230680507497117,582,185
0.18999999999999995,1514,0.7547649301143583,0.9050279329608939,0.8230946882217091,579,187
0.19999999999999996,1528,0.7562739259889408,0.9029964448958863,0.8231481481481482,573,191
0.20999999999999996,1562,0.7589017589017589,0.8984255967496191,0.8227906976744186,562,200
0.21999999999999995,1568,0.7615351444588184,0.8969019807008634,0.8236940298507462,553,203
0.22999999999999995,1573,0.7645273200346921,0.8953783646521076,0.8247953216374267,543,206
0.23999999999999994,1599,0.7652439024390244,0.8923311325545963,0.823915592028136,539,212
0.24999999999999992,1621,0.7657342657342657,0.8897917724733367,0.8231148696264976,536,217
0.2599999999999999,1639,0.7691629955947137,0.8867445403758253,0.8237791932059447,524,223
0.2699999999999999,1655,0.7717198581560284,0.8842051802945657,0.8241420118343196,515,228
0.2799999999999999,1660,0.7732325477990218,0.8831894362620619,0.8245614035087719,510,230
0.2899999999999999,1668,0.7753461366681554,0.8816658202133062,0.8250950570342206,503,233
0.29999999999999993,1681,0.77737881508079,0.8796343321482987,0.8253514415058376,496,237
0.30999999999999994,1691,0.7804878048780488,0.877602844083291,0.8262012909395171,486,241
0.3199999999999999,1710,0.7821152973218338,0.8750634840020315,0.8259827420901247,480,246
0.32999999999999985,1729,0.7837591240875912,0.8725241239207719,0.8257630377313145,474,251
0.33999999999999986,1732,0.784376427592508,0.87201625190452,0.825877825877826,472,252
0.34999999999999987,1743,0.7855178735105408,0.8704926358557643,0.8258251023849675,468,255
0.3599999999999999,1761,0.7858455882352942,0.8684611477907568,0.825090470446321,466,259
0.3699999999999999,1782,0.7868020304568528,0.8659217877094972,0.824468085106383,462,264
0.3799999999999999,1814,0.7872044506258693,0.8623666835957339,0.8230731943771208,459,271
