iter	Logloss
0	0.588660967911	0.501995011922	0.433142465333	0.379521613844	0.336219105355	0.2987001486	6	0.267784027777	0.244662142888	0.224205452999	0.2075925571110	0.1932093821111	0.1800731591112	0.1701576151113	0.160432363114	0.1519522171115	0.145072839116	0.139468695
17	0.1339567693
18	0.1291253396
19	0.1251868198
20	0.1213990979
21	0.118139775222	0.1151824492323	0.1124466382424	0.1102304892525	0.1080374892626	0.1063582602727	0.1044854592828	0.1030202202929	0.1016317030	30	0.1002076031	31	0.0990283113232	0.09783353063333	0.09663211543434	0.09550923393535	0.094367761936	0.09456939624
3737	0.092848685438	0.09304258541
39	0.0921092661
40	0.09139718375
41	0.09080318082
42	0.09018881409
43	0.08950702392
44	0.08891143938
45	0.08798302602
46	0.0875144747
47	0.0869939408
48	0.08655192948
49	0.08594348853
50	0.08537943254
51	0.0849193299
52	0.08451983376
53	0.53	0.084440754	0.08374757318
55	0.08336396334
56	0.56	0.083249957	057	0.0829076958	058	0.0824868759	059	0.082267260	0.60	0.081940761	0.61	0.081600262	0.62	0.081178263	0.08013300599
64	0.07984423358
65	0.079494424
66	0.0790370392
67	0.07857635953
68	0.07826444958
69	0.07806508696
70	0.07778593641
71	0.07754587191
72	0.07736086616
73	0.07714195301
74	0.07678419094
75	0.07646670737
76	0.07616345165
77	0.07592854185
78	0.07573238823
79	0.07543486494
80	0.07519202877
81	0.07486945105
82	0.07468027916
83	0.07452204383
84	084	0.0744170585	85	0.07407796686	86	0.07389386287	87	0.07370658688	88	0.07350423189	89	0.07334634390	90	0.0730571791	91	0.07284689292	92	0.07253581393	93	0.07235645194	94	0.0722149295	095	0.0719713696	096	0.0717415897	97	0.07145974298	98	0.07121730299	99	0.071084539100100	0.070945754101101	0.070669220102102	0.070546700103103	0.070379499104104	0.070222514105105	0.070008371106106	0.069876409107107	0.069668368108108	0.06955044112
109	0.06941478017
110	0.06927834691
111	0.0690836603
112	0.06891553411
113	0.06876494046
114	0.06858235132
115	0.06833050485
116	0.06820476252
117	0.06794827956
118	0.06779972285
119	0.06750750786
120	0.06732678739
121	0.06714363793
122	0.0668970514
123	0.06679269521
124	0.06670625334
125	0.06651627471
126	0.06643674339
127	0.06634396255
128	0.06625199205
129	0.06616370115
130	0.06606832469
131	0.06597741396
132	0.06588652912
133	0.0657904127
134	0.06554970653
135	0.06545791406
136	0.06537281123
137	0.06525814764
138	0.0650263994
139	0.06479642442
140	0.06472266502
141	0.06454710746
142	0.06429159007
143	0.06420390446
144	0.06411471228
145	0.06401653769
146	0.06392296541
147	0.0637312554
148	0.06363055949
149	0.06354902897
150	0.06348247794
151	0.06342345989
152	0.06327197873
153	0.06318433171
154	0.06290179148
155	0.06279282388
156	0.06272162478
157	0.06265834032
158	0.06253942627
159	0.06246827532
160	0.06226838
161	0.0622018384
162	0.06211470129
163	0.06191289971
164	0.06170835458
165	0.06162839996
166	0.06149791322
167	0.06140899437
168	0.06085296469
169	0.060779355
170	0.06070522585
171	0.06063241035
172	0.0605338953
173	0.06047219669
174	0.0603354364
175	0.06027073126
176	0.06020812154
177	0.06012599954
178	0.05990973656
179	0.05985030614
180	0.05975954612
181	0.05951591297
182	0.05940677436
183	0.05934495701
184	0.05926238166
185	0.05913911844
186	0.05905218881
187	0.05883503362
188	0.05874992421
189	0.05868839971
190	0.05862545835
191	0.05851140845
192	0.05843844168
193	0.05832436617
194	0.05827556863
195	0.05821692736
196	0.05814505121
197	0.05777836276
198	0.05770418798
199	0.05763532827
49

142
